false_positive_rate,true_positive_rate
0.019285714285714285,0.6665
0.019285714285714285,0.668
0.019857142857142858,0.668
0.019857142857142858,0.67
0.020142857142857143,0.67
0.020142857142857143,0.6705
0.02057142857142857,0.6705
0.02057142857142857,0.6715
0.021,0.6715
0.021,0.6755
0.02157142857142857,0.6755
0.02157142857142857,0.6785
0.021857142857142856,0.6785
0.021857142857142856,0.679
0.022,0.679
0.022,0.68
0.02214285714285714,0.68
0.02214285714285714,0.6805
0.022285714285714287,0.6805
0.022285714285714287,0.681
0.022857142857142857,0.681
0.022857142857142857,0.6815
0.023142857142857142,0.6815
0.023142857142857142,0.6825
0.023428571428571427,0.6825
0.023428571428571427,0.6835
0.023571428571428573,0.6835
0.023571428571428573,0.684
0.023714285714285716,0.684
0.023714285714285716,0.6845
0.024142857142857143,0.6845
0.024142857142857143,0.685
0.024285714285714285,0.685
0.024285714285714285,0.6855
0.024714285714285713,0.6855
0.024714285714285713,0.686
0.024857142857142855,0.686
0.024857142857142855,0.6865
0.025285714285714286,0.6865
0.025285714285714286,0.6875
0.02557142857142857,0.6875
0.02557142857142857,0.688
0.025714285714285714,0.688
0.025714285714285714,0.6885
0.026,0.6885
0.026,0.689
0.026285714285714287,0.689
0.026285714285714287,0.69
0.02642857142857143,0.69
0.02642857142857143,0.6915
0.026571428571428572,0.6915
0.026571428571428572,0.6925
0.026714285714285715,0.6925
0.026714285714285715,0.6935
0.027,0.6935
0.027,0.6945
0.027285714285714285,0.6945
0.027285714285714285,0.695
0.027571428571428573,0.695
0.027571428571428573,0.696
0.027857142857142858,0.696
0.027857142857142858,0.6975
0.028142857142857143,0.6975
0.028142857142857143,0.6985
0.028285714285714286,0.6985
0.028285714285714286,0.699
0.028428571428571428,0.699
0.028428571428571428,0.7015
0.02857142857142857,0.7015
0.02857142857142857,0.702
0.029,0.702
0.029,0.7035
0.029142857142857144,0.7035
0.029142857142857144,0.707
0.029285714285714286,0.707
0.029285714285714286,0.708
0.02942857142857143,0.708
0.02942857142857143,0.7085
0.02957142857142857,0.7085
0.02957142857142857,0.7095
0.029857142857142856,0.7095
0.029857142857142856,0.71
0.03,0.71
0.03,0.7105
0.030571428571428572,0.7105
0.030571428571428572,0.7125
0.030857142857142857,0.7125
0.030857142857142857,0.713
0.031285714285714285,0.713
0.031285714285714285,0.7135
0.031714285714285716,0.7135
0.031714285714285716,0.714
0.031857142857142855,0.714
0.031857142857142855,0.7145
0.032285714285714286,0.7145
0.032285714285714286,0.7155
0.03242857142857143,0.7155
0.03242857142857143,0.716
0.03271428571428572,0.716
0.03271428571428572,0.717
0.032857142857142856,0.717
0.032857142857142856,0.7175
0.03314285714285714,0.7175
0.03314285714285714,0.719
0.03414285714285714,0.719
0.03414285714285714,0.7215
